"","SRR12653236","SRR12653240","SRR12653239","SRR12653245","SRR12653253","SRR12653254"
"RS05045",39449,75225,15888,17267,13635,11289
"RS05920",29566,86504,10824,11616,17511,13241
"RS05735",26027,55109,36979,48263,200685,194892
"RS06465",14647,12240,20090,24347,59274,47278
"RS02960",7837,5519,24541,16897,40750,47733
"RS05535",2250,2329,1882,2363,3658,3893
"RS05915",1858,1344,2461,3258,5504,4831
