"categoria","termino","descripcion","genes_universo","genes_conjunto","esperados","p","genes","q"
"Process","GO:0044249","Cellular biosynthetic process",307,52,54.2,0.682661183884449,"RS00470;RS01015;RS01315;RS01425;RS02355;RS02365;RS02455;RS02550;RS02575;RS02580;RS02820;RS03030;RS04480;RS04605;RS04825;RS05290;RS05340;RS06020;alr;aroC;cysS;dapA;dapF;def;dnaN;efp;fabA;fabB;fabI;fabI;frr;gltX;guaB;ilvC;murA;murD;pdhA;purE;ribB;rplF;rplN;rplX;rpmH;rpoH;rpoZ;rpsB;rpsO;serS;smpB;tsf;ubiC;ubiG",1
"Process","GO:0019637","Organophosphate metabolic process",104,17,18.4,0.687206467743631,"RS00690;RS00695;RS01015;RS01050;RS02255;RS02550;RS02575;RS02580;RS02820;RS04480;RS05110;RS05850;fsa;guaB;pdhA;purE;tpiA",1
"Process","GO:0009152","Purine ribonucleotide biosynthetic process",38,6,6.7,0.688448118953302,"RS01015;RS02575;RS02580;guaB;pdhA;purE",1
"Keyword","KW-0378","Hydrolase",110,18,19.4,0.688648280106739,"RS01050;RS01600;RS01920;RS01980;RS01985;RS02365;RS04405;RS05330;RS05370;RS05850;RS05905;def;htpX;lon;ribB;rnpA;ruvX;ybeY",1
"Function","GO:0016740","Transferase activity",192,32,33.9,0.688855890711058,"RS00365;RS00690;RS01315;RS01645;RS02065;RS02110;RS02255;RS02455;RS02580;RS02820;RS04045;RS04480;RS04510;RS04590;RS04745;RS05100;RS06020;RS06130;RS06480;RS06680;RS06685;dnaN;fabA;fabB;fabI;fabI;fsa;murA;rpoZ;rsmH;trmD;ubiG",1
"Process","GO:0006760","Folic acid-containing compound metabolic process",6,1,1.1,0.68943786022689,"murD",1
"Process","GO:0009423","Chorismate biosynthetic process",6,1,1.1,0.68943786022689,"aroC",1
"Process","GO:0015698","Inorganic anion transport",6,1,1.1,0.68943786022689,"phoU",1
"Process","GO:0033013","Tetrapyrrole metabolic process",6,1,1.1,0.68943786022689,"RS03030",1
"Process","GO:0033014","Tetrapyrrole biosynthetic process",6,1,1.1,0.68943786022689,"RS03030",1
"Process","GO:0042558","Pteridine-containing compound metabolic process",6,1,1.1,0.68943786022689,"murD",1
"Process","GO:0046417","Chorismate metabolic process",6,1,1.1,0.68943786022689,"aroC",1
"Component","GO:0015935","Small ribosomal subunit",6,1,1.1,0.68943786022689,"rpsB",1
"Function","GO:0008170","N-methyltransferase activity",6,1,1.1,0.68943786022689,"rsmH",1
"Function","GO:0008408","3-5 exonuclease activity",6,1,1.1,0.68943786022689,"dnaN",1
