"categoria","termino","descripcion","genes_universo","genes_conjunto","esperados","p","genes","q"
"Function","GO:0008168","Methyltransferase activity",36,5,8.9,0.964603217512785,"RS00295;RS01935;RS01940;rlmH;rsmA",1
"Process","GO:0016053","Organic acid biosynthetic process",57,9,14.1,0.965464189028695,"RS03635;RS06280;RS06625;accC;argJ;aroA;glyA;lysA;panC",1
"Process","GO:0044281","Small molecule metabolic process",196,39,48.3,0.965743262800693,"RS00330;RS00555;RS00565;RS02145;RS03635;RS03970;RS03985;RS05600;RS06280;RS06620;RS06625;accC;argF;argJ;aroA;atpA;atpC;atpD;cmk;coaA;cobT;glmS;gltX;glyA;glyS;gmk;guaA;hisS;ileS;lysA;ndk;nrdF;panC;pncB;purL;purM;purQ;thiC;ubiB",1
"Process","GO:0043414","Macromolecule methylation",25,3,6.2,0.966657024668935,"RS01940;rlmH;rsmA",1
"Function","GO:0016747","Acyltransferase activity, transferring groups other than amino-acyl groups",25,3,6.2,0.966657024668935,"RS02985;argJ;tsaD",1
"Function","GO:0016779","Nucleotidyltransferase activity",25,3,6.2,0.966657024668935,"holA;polA;waaA",1
"Keyword","KW-0548","Nucleotidyltransferase",25,3,6.2,0.966657024668935,"holA;polA;waaA",1
"Process","GO:0043650","Dicarboxylic acid biosynthetic process",12,1,3,0.967223011545285,"aroA",1
"Process","GO:0065008","Regulation of biological quality",12,1,3,0.967223011545285,"ileS",1
"Process","GO:1901615","Organic hydroxy compound metabolic process",12,1,3,0.967223011545285,"thiC",1
"Function","GO:0016835","Carbon-oxygen lyase activity",12,1,3,0.967223011545285,"acnA",1
"Keyword","KW-0275","Fatty acid biosynthesis",12,1,3,0.967223011545285,"accC",1
"Keyword","KW-0276","Fatty acid metabolism",12,1,3,0.967223011545285,"accC",1
"KEGG","bbk03060","Protein export",12,1,3,0.967223011545285,"secD",1
"Process","GO:0043933","Protein-containing complex organization",19,2,4.7,0.967814361087066,"RS06615;prfA",1
"Process","GO:0072330","Monocarboxylic acid biosynthetic process",19,2,4.7,0.967814361087066,"accC;panC",1
"Process","GO:0072528","Pyrimidine-containing compound biosynthetic process",19,2,4.7,0.967814361087066,"ndk;thiC",1
"Function","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity",19,2,4.7,0.967814361087066,"rlmH;rsmA",1
"Function","GO:0140640","Catalytic activity, acting on a nucleic acid",111,20,27.4,0.969396933782373,"RS00540;RS00915;RS01940;RS04285;RS04505;RS06620;addA;gltX;glyS;hisS;holA;ileS;parE;polA;recG;rlmH;rnhA;rsmA;topA;truB",1
"Process","GO:0006950","Response to stress",37,5,9.1,0.970646624402974,"addA;polA;recF;recG;recO",1
"Keyword","KW-0862","Zinc",37,5,9.1,0.970646624402974,"RS00540;clpX;lpxC;radC;thiC",1
"Process","GO:0046483","Heterocycle metabolic process",255,52,62.9,0.97170107095068,"RS00540;RS00555;RS00565;RS00625;RS00915;RS00965;RS01230;RS01935;RS01940;RS03525;RS03870;RS05600;RS05940;RS06620;accC;addA;atpA;atpC;atpD;cmk;coaA;cobT;dnaA;flbT;gltX;glyA;glyS;gmk;guaA;hisS;holA;ileS;miaB;mnmE;ndk;nrdF;parE;pncB;polA;purL;purM;purQ;recF;recG;recO;rlmH;rnhA;rsmA;thiC;topA;truB;tsaD",1
"Process","GO:0006796","Phosphate-containing compound metabolic process",121,22,29.8,0.971757875301407,"RS00555;RS00565;RS01225;RS05600;accC;atpA;atpC;atpD;cmk;coaA;gmk;guaA;lpxB;lpxC;lpxK;ndk;nrdF;pncB;purL;purM;purQ;thiC",1
"Keyword","KW-0413","Isomerase",26,3,6.4,0.973191629248458,"parE;topA;truB",1
"Keyword","KW-0489","Methyltransferase",32,4,7.9,0.973941797717666,"RS00295;RS01940;rlmH;rsmA",1
"Process","GO:0018193","Peptidyl-amino acid modification",13,1,3.2,0.975394971495463,"RS01225",1
"Component","GO:0140535","Intracellular protein-containing complex",13,1,3.2,0.975394971495463,"holA",1
"Keyword","KW-0133","Cell shape",13,1,3.2,0.975394971495463,"murJ",1
"Keyword","KW-0346","Stress response",13,1,3.2,0.975394971495463,"RS03520",1
"Keyword","KW-0573","Peptidoglycan synthesis",13,1,3.2,0.975394971495463,"murJ",1
"InterPro","IPR001789","Signal transduction response regulator, receiver domain",13,1,3.2,0.975394971495463,"RS01230",1
"InterPro","IPR011006","CheY-like superfamily",13,1,3.2,0.975394971495463,"RS01230",1
"InterPro","IPR036890","Histidine kinase/HSP90-like ATPase superfamily",13,1,3.2,0.975394971495463,"parE",1
"Process","GO:1901360","Organic cyclic compound metabolic process",261,53,64.4,0.975658698309485,"RS00540;RS00555;RS00565;RS00625;RS00915;RS00965;RS01230;RS01935;RS01940;RS03525;RS03870;RS05600;RS05940;RS06620;accC;addA;aroA;atpA;atpC;atpD;cmk;coaA;cobT;dnaA;flbT;gltX;glyA;glyS;gmk;guaA;hisS;holA;ileS;miaB;mnmE;ndk;nrdF;parE;pncB;polA;purL;purM;purQ;recF;recG;recO;rlmH;rnhA;rsmA;thiC;topA;truB;tsaD",1
