"categoria","termino","descripcion","genes_universo","genes_conjunto","esperados","p","genes","q"
"Keyword","KW-0282","Flagellum",26,26,6.4,6.18254818570403e-17,"RS05045;RS05445;RS05470;RS05495;RS05555;RS05570;RS05620;RS05635;flgA;flgB;flgC;flgD;flgF;flgG;flgK;flhA;flhB;fliE;fliF;fliK;fliN;fliP;fliQ;fliR;motA;motC",3.25614204447079e-15
"Keyword","KW-0966","Cell projection",26,26,6.4,6.18254818570403e-17,"RS05045;RS05445;RS05470;RS05495;RS05555;RS05570;RS05620;RS05635;flgA;flgB;flgC;flgD;flgF;flgG;flgK;flhA;flhB;fliE;fliF;fliK;fliN;fliP;fliQ;fliR;motA;motC",3.25614204447079e-15
"Keyword","KW-0969","Cilium",26,26,6.4,6.18254818570403e-17,"RS05045;RS05445;RS05470;RS05495;RS05555;RS05570;RS05620;RS05635;flgA;flgB;flgC;flgD;flgF;flgG;flgK;flhA;flhB;fliE;fliF;fliK;fliN;fliP;fliQ;fliR;motA;motC",3.25614204447079e-15
"KEGG","bbk02040","Flagellar assembly",25,25,6.2,2.69559100896695e-16,"RS05045;RS05445;RS05470;RS05495;RS05570;RS05600;RS05620;RS05635;flgA;flgB;flgC;flgD;flgF;flgG;flgH;flgK;flhA;flhB;fliE;fliF;fliN;fliP;fliQ;fliR;motA",1.9408255264562e-14
"Component","GO:0009288","Bacterial-type flagellum",19,19,4.7,1.736820352126e-12,"RS05045;RS05445;RS05470;RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgF;flgG;flgH;flgK;fliE;fliF;fliN;fliP;fliQ;fliR",5.8183481796221e-11
"Component","GO:0042995","Cell projection",19,19,4.7,1.736820352126e-12,"RS05045;RS05445;RS05470;RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgF;flgG;flgH;flgK;fliE;fliF;fliN;fliP;fliQ;fliR",5.8183481796221e-11
"Component","GO:0009425","Bacterial-type flagellum basal body",16,16,3.9,1.33877923079028e-10,"RS05470;RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgF;flgG;flgH;fliE;fliF;fliN;fliP;fliQ;fliR",2.98994028209829e-09
"Keyword","KW-0975","Bacterial flagellum",14,14,3.5,2.38932438315666e-09,"RS05045;RS05445;RS05470;RS05570;flgB;flgC;flgF;flgG;flgH;fliE;fliF;fliN;fliQ;fliR",9.4378313134688e-08
"Process","GO:0001539","Cilium or flagellum-dependent cell motility",12,12,3,4.21478263674167e-08,"RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgG;flgH;fliE;fliF;fliN;motA",8.17667831527885e-06
"Process","GO:0048870","Cell motility",12,12,3,4.21478263674167e-08,"RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgG;flgH;fliE;fliF;fliN;motA",8.17667831527885e-06
"Process","GO:0097588","Archaeal or bacterial-type flagellum-dependent cell motility",12,12,3,4.21478263674167e-08,"RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgG;flgH;fliE;fliF;fliN;motA",8.17667831527885e-06
"Process","GO:0071973","Bacterial-type flagellum-dependent cell motility",11,11,2.7,1.76254546627379e-07,"RS05555;RS05570;RS05620;RS05635;flgB;flgC;flgG;flgH;fliE;fliF;fliN",2.56450365342836e-05
"Process","GO:0006810","Transport",131,55,32.3,2.45605344257669e-06,"RS00175;RS00245;RS00555;RS00565;RS00585;RS00855;RS01465;RS01470;RS01505;RS02205;RS02215;RS02325;RS02440;RS03320;RS03540;RS03795;RS03800;RS03805;RS03855;RS03880;RS03885;RS04360;RS04425;RS04985;RS05280;RS05285;RS05350;RS05355;RS05400;RS05405;RS05600;RS06370;RS06380;RS06525;RS06530;RS06630;RS07145;atpA;atpC;atpD;flhA;flhB;fliP;fliQ;fliR;lptF;mnhG;motA;murJ;nuoF;nuoG;nuoL;nuoN;pstA;secD",0.000285884620715926
"Process","GO:0051179","Localization",133,55,32.8,4.40347497511948e-06,"RS00175;RS00245;RS00555;RS00565;RS00585;RS00855;RS01465;RS01470;RS01505;RS02205;RS02215;RS02325;RS02440;RS03320;RS03540;RS03795;RS03800;RS03805;RS03855;RS03880;RS03885;RS04360;RS04425;RS04985;RS05280;RS05285;RS05350;RS05355;RS05400;RS05405;RS05600;RS06370;RS06380;RS06525;RS06530;RS06630;RS07145;atpA;atpC;atpD;flhA;flhB;fliP;fliQ;fliR;lptF;mnhG;motA;murJ;nuoF;nuoG;nuoL;nuoN;pstA;secD",0.000366117490788505
"Process","GO:0051234","Establishment of localization",133,55,32.8,4.40347497511948e-06,"RS00175;RS00245;RS00555;RS00565;RS00585;RS00855;RS01465;RS01470;RS01505;RS02205;RS02215;RS02325;RS02440;RS03320;RS03540;RS03795;RS03800;RS03805;RS03855;RS03880;RS03885;RS04360;RS04425;RS04985;RS05280;RS05285;RS05350;RS05355;RS05400;RS05405;RS05600;RS06370;RS06380;RS06525;RS06530;RS06630;RS07145;atpA;atpC;atpD;flhA;flhB;fliP;fliQ;fliR;lptF;mnhG;motA;murJ;nuoF;nuoG;nuoL;nuoN;pstA;secD",0.000366117490788505
"KEGG","bbk00190","Oxidative phosphorylation",34,20,8.4,1.68139873254263e-05,"RS00465;RS00555;RS00565;RS03795;RS03800;RS03805;RS03810;RS03855;atpA;atpC;atpD;nuoE;nuoF;nuoG;nuoH;nuoL;nuoN;sdhA;sdhC;sdhD",0.000605303543715345
"Process","GO:0030030","Cell projection organization",10,9,2.5,2.39438388521141e-05,"flaF;flgA;flgD;flgK;flhA;flhB;fliP;fliQ;fliR",0.00154836824577004
"Process","GO:0044781","Bacterial-type flagellum organization",10,9,2.5,2.39438388521141e-05,"flaF;flgA;flgD;flgK;flhA;flhB;fliP;fliQ;fliR",0.00154836824577004
"Keyword","KW-1278","Translocase",19,13,4.7,6.12245160192996e-05,"RS02200;RS03540;RS03795;RS03800;RS03805;RS03810;RS03885;RS05350;atpA;atpD;nuoG;nuoH;nuoN",0.00193469470620987
"Process","GO:0006996","Organelle organization",28,17,6.9,4.29567636944832e-05,"RS00540;RS00915;RS04505;addA;flaF;flgA;flgD;flgK;flhA;flhB;fliP;fliQ;fliR;parE;recG;rsfS;topA",0.00250008364701892
"Component","GO:0030694","Bacterial-type flagellum basal body, rod",5,5,1.2,0.000887789552317869,"RS05570;flgB;flgC;flgG;flgH",0.00790902541522993
"Component","GO:0033178","Proton-transporting two-sector ATPase complex, catalytic domain",5,5,1.2,0.000887789552317869,"RS00555;RS00565;atpA;atpC;atpD",0.00790902541522993
"Component","GO:0045261","Proton-transporting ATP synthase complex, catalytic core F(1)",5,5,1.2,0.000887789552317869,"RS00555;RS00565;atpA;atpC;atpD",0.00790902541522993
"Component","GO:0071944","Cell periphery",149,53,36.7,0.000899648420403584,"RS00160;RS00175;RS00245;RS00555;RS00565;RS00855;RS01470;RS01505;RS02205;RS02440;RS03540;RS03795;RS03800;RS03805;RS03810;RS03880;RS03920;RS04425;RS04985;RS05350;RS05355;RS05400;RS05405;RS05495;RS05555;RS05620;RS05635;RS05825;RS06370;RS06530;RS06630;RS07145;atpA;atpC;atpD;flgH;flhA;flhB;fliF;fliN;fliP;fliQ;fliR;lptF;motA;murJ;nuoH;nuoN;pstA;sdhA;secD;ubiB;waaA",0.00790902541522993
"Component","GO:0016020","Membrane",279,89,68.8,0.000944361243609544,"RS00160;RS00165;RS00170;RS00175;RS00245;RS00290;RS00320;RS00325;RS00555;RS00565;RS00580;RS00855;RS01155;RS01220;RS01465;RS01470;RS01505;RS01785;RS01975;RS02050;RS02205;RS02325;RS02440;RS03540;RS03795;RS03800;RS03805;RS03810;RS03855;RS03880;RS03885;RS03920;RS04360;RS04370;RS04425;RS04870;RS04985;RS05280;RS05285;RS05345;RS05350;RS05355;RS05400;RS05405;RS05495;RS05530;RS05555;RS05570;RS05620;RS05635;RS05825;RS05875;RS06305;RS06355;RS06370;RS06525;RS06530;RS06570;RS06630;RS07145;atpA;atpC;atpD;flgH;flhA;flhB;fliF;fliN;fliP;fliQ;fliR;hflC;hflK;lptF;mnhG;motA;murJ;nuoF;nuoG;nuoH;nuoL;nuoN;pstA;sdhA;sdhC;sdhD;secD;ubiB;waaA",0.00790902541522993
"Process","GO:0030031","Cell projection assembly",6,6,1.5,0.000215948810023266,"flgA;flgK;flhA;flhB;fliQ;fliR",0.0104735172861284
"Process","GO:0044780","Bacterial-type flagellum assembly",6,6,1.5,0.000215948810023266,"flgA;flgK;flhA;flhB;fliQ;fliR",0.0104735172861284
"Component","GO:0005886","Plasma membrane",135,48,33.3,0.00166319453329294,"RS00160;RS00175;RS00245;RS00555;RS00565;RS00855;RS01470;RS02205;RS03540;RS03795;RS03800;RS03805;RS03810;RS03880;RS03920;RS04985;RS05350;RS05355;RS05400;RS05405;RS05495;RS05555;RS05620;RS05635;RS05825;RS06370;RS06530;RS06630;atpA;atpC;atpD;flhA;flhB;fliF;fliN;fliP;fliQ;fliR;lptF;motA;murJ;nuoH;nuoN;pstA;sdhA;secD;ubiB;waaA",0.012381559303403
"Function","GO:0008137","NADH dehydrogenase (ubiquinone) activity",9,8,2.2,8.95806677977905e-05,"RS03795;RS03800;RS03805;RS03855;nuoF;nuoG;nuoL;nuoN",0.0135079922066647
"Function","GO:0016655","Oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",13,10,3.2,0.000100641389972985,"RS03795;RS03800;RS03805;RS03810;RS03855;nuoF;nuoG;nuoH;nuoL;nuoN",0.0135079922066647
"Function","GO:0003774","Cytoskeletal motor activity",6,6,1.5,0.000215948810023266,"RS05620;RS05635;flgH;fliE;fliF;fliN",0.0135079922066647
"Function","GO:0016651","Oxidoreductase activity, acting on NAD(P)H",14,10,3.5,0.000275821598838557,"RS03795;RS03800;RS03805;RS03810;RS03855;nuoF;nuoG;nuoH;nuoL;nuoN",0.0135079922066647
"Function","GO:0003954","NADH dehydrogenase activity",12,9,3,0.000323948029845581,"RS03795;RS03800;RS03805;RS03810;RS03855;nuoF;nuoG;nuoL;nuoN",0.0135079922066647
"Function","GO:0003955","NAD(P)H dehydrogenase (quinone) activity",12,9,3,0.000323948029845581,"RS03795;RS03800;RS03805;RS03810;RS03855;nuoF;nuoG;nuoL;nuoN",0.0135079922066647
"Function","GO:0050136","NADH dehydrogenase (quinone) activity",12,9,3,0.000323948029845581,"RS03795;RS03800;RS03805;RS03810;RS03855;nuoF;nuoG;nuoL;nuoN",0.0135079922066647
"Function","GO:0015399","Primary active transmembrane transporter activity",29,16,7.2,0.000350856940432849,"RS02325;RS03540;RS03795;RS03800;RS03805;RS03855;RS05350;RS05600;RS06525;atpA;atpD;nuoF;nuoG;nuoL;nuoN;secD",0.0135079922066647
"Pfam","PF00361","Proton-conducting membrane transporter",5,5,1.2,0.000887789552317869,"RS00160;RS00170;RS03855;nuoL;nuoN",0.0145005626878585
"Pfam","PF00460","Flagella basal body rod protein",5,5,1.2,0.000887789552317869,"RS05470;flgB;flgC;flgF;flgG",0.0145005626878585
"Pfam","PF06429","Flagellar basal body rod FlgEFG protein C-terminal",5,5,1.2,0.000887789552317869,"RS05470;flgC;flgF;flgG;flgK",0.0145005626878585
"KEGG","bbk02030","Bacterial chemotaxis",5,5,1.2,0.000887789552317869,"RS05495;RS05620;RS05635;fliN;motA",0.0213069492556289
"Keyword","KW-0139","CF(1)",5,5,1.2,0.000887789552317869,"RS00555;RS00565;atpA;atpC;atpD",0.0229285594461922
"Keyword","KW-0874","Quinone",11,8,2.7,0.00101582225394523,"RS03795;RS03800;RS03805;RS03810;nuoF;nuoG;nuoH;nuoN",0.0229285594461922
"Function","GO:0022804","Active transmembrane transporter activity",37,18,9.1,0.00111818974228928,"RS02325;RS03540;RS03795;RS03800;RS03805;RS03855;RS05350;RS05600;RS06525;atpA;atpD;mnhG;nuoF;nuoG;nuoL;nuoN;pstA;secD",0.0382669378472332
"Keyword","KW-0472","Membrane",251,80,61.9,0.00200506437663797,"RS00160;RS00165;RS00170;RS00175;RS00245;RS00290;RS00320;RS00325;RS00555;RS00565;RS00580;RS00855;RS01155;RS01220;RS01465;RS01470;RS01505;RS01785;RS01975;RS02050;RS02200;RS02205;RS02325;RS02440;RS03540;RS03795;RS03800;RS03805;RS03810;RS03855;RS03880;RS03885;RS04360;RS04370;RS04870;RS05280;RS05285;RS05345;RS05350;RS05355;RS05400;RS05405;RS05495;RS05555;RS05570;RS05825;RS05875;RS06305;RS06355;RS06370;RS06525;RS06570;RS06630;atpA;atpC;atpD;flgH;flhA;flhB;fliF;fliN;fliP;fliQ;fliR;hflC;hflK;lptF;mnhG;motA;murJ;nuoH;nuoL;nuoN;pstA;sdhA;sdhC;sdhD;secD;ubiB;waaA",0.0396000214385998
"Process","GO:0070925","Organelle assembly",9,7,2.2,0.00117307817248314,"flgA;flgK;flhA;flhB;fliQ;fliR;rsfS",0.0487665354560847
"Process","GO:0140694","Non-membrane-bounded organelle assembly",9,7,2.2,0.00117307817248314,"flgA;flgK;flhA;flhB;fliQ;fliR;rsfS",0.0487665354560847
"Function","GO:0005215","Transporter activity",82,32,20.2,0.00196009598097301,"RS00175;RS00245;RS00555;RS00565;RS01465;RS01470;RS02205;RS02325;RS03320;RS03540;RS03795;RS03800;RS03805;RS03855;RS04360;RS05285;RS05350;RS05400;RS05405;RS05600;RS06525;atpA;atpC;atpD;mnhG;murJ;nuoF;nuoG;nuoL;nuoN;pstA;secD",0.0548826874672443
"Function","GO:0022857","Transmembrane transporter activity",82,32,20.2,0.00196009598097301,"RS00175;RS00245;RS00555;RS00565;RS01465;RS01470;RS02205;RS02325;RS03320;RS03540;RS03795;RS03800;RS03805;RS03855;RS04360;RS05285;RS05350;RS05400;RS05405;RS05600;RS06525;atpA;atpC;atpD;mnhG;murJ;nuoF;nuoG;nuoL;nuoN;pstA;secD",0.0548826874672443
"Process","GO:0033036","Macromolecule localization",32,16,7.9,0.00147132803173702,"RS00855;RS01505;RS02440;RS03540;RS03880;RS03885;RS04425;RS05600;RS06530;RS07145;flhA;flhB;fliP;fliQ;fliR;secD",0.0570875276313964
"Function","GO:0048038","Quinone binding",12,8,3,0.00239957070214452,"RS03795;RS03800;RS03805;RS03810;nuoF;nuoG;nuoH;nuoN",0.0615889813550426
"Keyword","KW-1005","Bacterial flagellum biogenesis",4,4,1,0.00363960956688248,"flgA;flhA;flhB;fliP",0.0638953679519369
"KEGG","bbk00650","Butanoate metabolism",4,4,1,0.00363960956688248,"RS00465;sdhA;sdhC;sdhD",0.0655129722038847
"Process","GO:0015031","Protein transport",27,14,6.7,0.00188204123503133,"RS00855;RS01505;RS03880;RS03885;RS04425;RS05600;RS06530;RS07145;flhA;flhB;fliP;fliQ;fliR;secD",0.0684592499242646
"InterPro","IPR001444","Flagellar basal body rod protein, N-terminal",5,5,1.2,0.000887789552317869,"RS05470;flgB;flgC;flgF;flgG",0.0727987432900652
"InterPro","IPR001750","NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit",5,5,1.2,0.000887789552317869,"RS00160;RS00170;RS03855;nuoL;nuoN",0.0727987432900652
"InterPro","IPR010930","Flagellar basal-body/hook protein, C-terminal domain",5,5,1.2,0.000887789552317869,"RS05470;flgC;flgF;flgG;flgK",0.0727987432900652
"Component","GO:0016021","Integral component of membrane",225,69,55.5,0.0131860274967498,"RS00160;RS00165;RS00170;RS00175;RS00245;RS00290;RS00320;RS00325;RS00580;RS00855;RS01155;RS01220;RS01465;RS01470;RS01505;RS01785;RS01975;RS02050;RS02205;RS02325;RS03540;RS03795;RS03855;RS03880;RS04360;RS04370;RS04425;RS04870;RS05280;RS05285;RS05345;RS05355;RS05400;RS05405;RS05495;RS05555;RS05570;RS05825;RS05875;RS06305;RS06355;RS06370;RS06525;RS06530;RS06570;RS06630;RS07145;flhA;flhB;fliF;fliP;fliQ;fliR;hflC;hflK;lptF;mnhG;motA;murJ;nuoF;nuoH;nuoL;nuoN;pstA;sdhC;sdhD;secD;ubiB;waaA",0.0830776566087661
"Component","GO:0031224","Intrinsic component of membrane",226,69,55.7,0.0147787181574941,"RS00160;RS00165;RS00170;RS00175;RS00245;RS00290;RS00320;RS00325;RS00580;RS00855;RS01155;RS01220;RS01465;RS01470;RS01505;RS01785;RS01975;RS02050;RS02205;RS02325;RS03540;RS03795;RS03855;RS03880;RS04360;RS04370;RS04425;RS04870;RS05280;RS05285;RS05345;RS05355;RS05400;RS05405;RS05495;RS05555;RS05570;RS05825;RS05875;RS06305;RS06355;RS06370;RS06525;RS06530;RS06570;RS06630;RS07145;flhA;flhB;fliF;fliP;fliQ;fliR;hflC;hflK;lptF;mnhG;motA;murJ;nuoF;nuoH;nuoL;nuoN;pstA;sdhC;sdhD;secD;ubiB;waaA",0.0830776566087661
"Component","GO:0009426","Bacterial-type flagellum basal body, distal rod",3,3,0.7,0.0148795802881372,"RS05570;flgG;flgH",0.0830776566087661
"Process","GO:0055085","Transmembrane transport",101,37,24.9,0.00331856513348182,"RS00175;RS00245;RS00555;RS00565;RS00585;RS01465;RS01470;RS02205;RS02325;RS03320;RS03540;RS03795;RS03800;RS03805;RS03855;RS04360;RS05280;RS05285;RS05350;RS05355;RS05400;RS05405;RS05600;RS06370;RS06525;atpA;atpC;atpD;lptF;mnhG;murJ;nuoF;nuoG;nuoL;nuoN;pstA;secD",0.085024726522962
"Process","GO:0006935","Chemotaxis",4,4,1,0.00363960956688248,"RS05555;RS05620;RS05635;fliN",0.085024726522962
"Process","GO:0040011","Locomotion",4,4,1,0.00363960956688248,"RS05555;RS05620;RS05635;fliN",0.085024726522962
"Process","GO:0042330","Taxis",4,4,1,0.00363960956688248,"RS05555;RS05620;RS05635;fliN",0.085024726522962
"Process","GO:0009306","Protein secretion",8,6,2,0.00379835548040724,"RS05600;RS06530;flhA;flhB;fliP;fliQ",0.085024726522962
"Process","GO:0032940","Secretion by cell",8,6,2,0.00379835548040724,"RS05600;RS06530;flhA;flhB;fliP;fliQ",0.085024726522962
"Process","GO:0035592","Establishment of protein localization to extracellular region",8,6,2,0.00379835548040724,"RS05600;RS06530;flhA;flhB;fliP;fliQ",0.085024726522962
"Process","GO:0046903","Secretion",8,6,2,0.00379835548040724,"RS05600;RS06530;flhA;flhB;fliP;fliQ",0.085024726522962
"Process","GO:0071692","Protein localization to extracellular region",8,6,2,0.00379835548040724,"RS05600;RS06530;flhA;flhB;fliP;fliQ",0.085024726522962
"Process","GO:0140352","Export from cell",8,6,2,0.00379835548040724,"RS05600;RS06530;flhA;flhB;fliP;fliQ",0.085024726522962
"Process","GO:0008104","Protein localization",29,14,7.2,0.00443907296708156,"RS00855;RS01505;RS03880;RS03885;RS04425;RS05600;RS06530;RS07145;flhA;flhB;fliP;fliQ;fliR;secD",0.0861180155613823
"Process","GO:0045184","Establishment of protein localization",29,14,7.2,0.00443907296708156,"RS00855;RS01505;RS03880;RS03885;RS04425;RS05600;RS06530;RS07145;flhA;flhB;fliP;fliQ;fliR;secD",0.0861180155613823
"Process","GO:0051641","Cellular localization",29,14,7.2,0.00443907296708156,"RS00855;RS01505;RS03880;RS03885;RS04425;RS05600;RS06530;RS07145;flhA;flhB;fliP;fliQ;fliR;secD",0.0861180155613823
"Process","GO:0070727","Cellular macromolecule localization",29,14,7.2,0.00443907296708156,"RS00855;RS01505;RS03880;RS03885;RS04425;RS05600;RS06530;RS07145;flhA;flhB;fliP;fliQ;fliR;secD",0.0861180155613823
"Function","GO:0000104","Succinate dehydrogenase activity",4,4,1,0.00363960956688248,"RS00465;sdhA;sdhC;sdhD",0.0862307497384465
"Function","GO:0015453","Oxidoreduction-driven active transmembrane transporter activity",13,8,3.2,0.00491666307428146,"RS03795;RS03800;RS03805;RS03855;nuoF;nuoG;nuoL;nuoN",0.108166587634192
"Pfam","PF01032","FecCD transport family",5,4,1.2,0.0146468896251409,"RS02205;RS05400;RS05405;RS06370",0.121516572353121
"Pfam","PF03895","YadA-like membrane anchor domain",3,3,0.7,0.0148795802881372,"RS01505;RS04425;RS07145",0.121516572353121
"Pfam","PF05662","Coiled stalk of trimeric autotransporter adhesin",3,3,0.7,0.0148795802881372,"RS01505;RS04425;RS07145",0.121516572353121
"Process","GO:0009145","Purine nucleoside triphosphate biosynthetic process",11,7,2.7,0.00671603974204976,"RS00555;RS00565;RS05600;atpA;atpC;atpD;ndk",0.12214797280853
"Process","GO:0009206","Purine ribonucleoside triphosphate biosynthetic process",11,7,2.7,0.00671603974204976,"RS00555;RS00565;RS05600;atpA;atpC;atpD;ndk",0.12214797280853
"Keyword","KW-0813","Transport",82,30,20.2,0.00838790433979603,"RS00245;RS00555;RS00565;RS00855;RS02200;RS02205;RS03540;RS03795;RS03800;RS03805;RS03810;RS03885;RS04985;RS05285;RS05350;RS05355;RS05400;RS05405;RS06370;RS06380;atpA;atpC;atpD;flhA;flhB;fliP;murJ;nuoN;sdhA;secD",0.132528888568777
"Process","GO:0071702","Organic substance transport",52,21,12.8,0.00760165626749209,"RS00855;RS01505;RS02325;RS02440;RS03540;RS03880;RS03885;RS04425;RS04985;RS05350;RS05600;RS06530;RS06630;RS07145;flhA;flhB;fliP;fliQ;fliR;murJ;secD",0.134065574172133
"Keyword","KW-0830","Ubiquinone",12,7,3,0.0127590963979171,"RS03795;RS03800;RS03805;RS03810;RS03985;nuoH;nuoN",0.183267020988264
"Keyword","KW-1006","Bacterial flagellum protein export",3,3,0.7,0.0148795802881372,"flhA;flhB;fliP",0.185180714994293
"Keyword","KW-1003","Cell membrane",106,36,26.1,0.0152363879425684,"RS00245;RS00555;RS00565;RS02200;RS02205;RS03540;RS03795;RS03800;RS03805;RS03810;RS03880;RS03885;RS05285;RS05350;RS05355;RS05400;RS05405;RS05555;RS06630;atpA;atpC;atpD;flhA;flhB;fliN;fliP;fliQ;fliR;murJ;nuoH;nuoN;pstA;sdhA;secD;ubiB;waaA",0.185180714994293
"InterPro","IPR027417","P-loop containing nucleoside triphosphate hydrolase",101,37,24.9,0.00331856513348182,"RS00250;RS00540;RS00915;RS01095;RS02200;RS02325;RS03525;RS03540;RS03885;RS04285;RS04505;RS04980;RS04985;RS05350;RS05600;RS06375;RS06525;RS06540;RS06615;addA;addB;atpA;atpD;clpX;cmk;coaA;dnaA;ettA;gmk;holA;infB;lpxK;mnmE;recF;recG;sufC;zapE",0.204091755709132
"Process","GO:0022900","Electron transport chain",23,11,5.7,0.0125650398363703,"RS00465;RS03795;RS03800;RS03805;RS03855;nuoF;nuoG;nuoL;nuoN;sdhA;sdhC",0.215083917199044
"Component","GO:0016469","Proton-transporting two-sector ATPase complex",9,5,2.2,0.0456715285417966,"RS00555;RS00565;atpA;atpC;atpD",0.217077732951826
"Component","GO:0045259","Proton-transporting ATP synthase complex",9,5,2.2,0.0456715285417966,"RS00555;RS00565;atpA;atpC;atpD",0.217077732951826
"Component","GO:0009986","Cell surface",4,3,1,0.0485994924519014,"RS01505;RS04425;RS07145",0.217077732951826
"Function","GO:0009055","Electron transfer activity",20,10,4.9,0.0118744840873628,"RS00465;RS03795;RS03800;RS03805;RS03855;nuoF;nuoG;nuoL;nuoN;sdhC",0.229145536437313
"Function","GO:0009678","Pyrophosphate hydrolysis-driven proton transmembrane transporter activity",3,3,0.7,0.0148795802881372,"RS05600;atpA;atpD",0.229145536437313
"Function","GO:0019829","ATPase-coupled cation transmembrane transporter activity",3,3,0.7,0.0148795802881372,"RS05600;atpA;atpD",0.229145536437313
"Function","GO:0042625","ATPase-coupled ion transmembrane transporter activity",3,3,0.7,0.0148795802881372,"RS05600;atpA;atpD",0.229145536437313
"Function","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism",3,3,0.7,0.0148795802881372,"RS05600;atpA;atpD",0.229145536437313
"Function","GO:0046961","Proton-transporting ATPase activity, rotational mechanism",3,3,0.7,0.0148795802881372,"RS05600;atpA;atpD",0.229145536437313
"Function","GO:0005261","Cation channel activity",10,6,2.5,0.0179893323207546,"RS00555;RS00565;RS05600;atpA;atpC;atpD",0.24090062412141
"Function","GO:0015252","Proton channel activity",10,6,2.5,0.0179893323207546,"RS00555;RS00565;RS05600;atpA;atpC;atpD",0.24090062412141
"Function","GO:0046933","Proton-transporting ATP synthase activity, rotational mechanism",10,6,2.5,0.0179893323207546,"RS00555;RS00565;RS05600;atpA;atpC;atpD",0.24090062412141
"Process","GO:0042773","ATP synthesis coupled electron transport",5,4,1.2,0.0146468896251409,"RS03855;nuoG;nuoL;nuoN",0.243556850338058
"InterPro","IPR017871","ABC transporter-like, conserved site",23,11,5.7,0.0125650398363703,"RS00250;RS02200;RS02325;RS03540;RS03885;RS04980;RS05350;RS06375;RS06525;ettA;sufC",0.24402511672545
"InterPro","IPR003439","ABC transporter-like, ATP-binding domain",26,12,6.4,0.0129120459681344,"RS00250;RS02200;RS02325;RS03540;RS03885;RS04980;RS04985;RS05350;RS06375;RS06525;ettA;sufC",0.24402511672545
"InterPro","IPR000522","ABC transporter, permease protein, BtuC-like",3,3,0.7,0.0148795802881372,"RS02205;RS05400;RS05405",0.24402511672545
"InterPro","IPR005594","Trimeric autotransporter adhesin YadA-like, C-terminal membrane anchor domain",3,3,0.7,0.0148795802881372,"RS01505;RS04425;RS07145",0.24402511672545
"InterPro","IPR008635","Trimeric autotransporter adhesin YadA-like, stalk domain",3,3,0.7,0.0148795802881372,"RS01505;RS04425;RS07145",0.24402511672545
"InterPro","IPR011049","Serralysin-like metalloprotease, C-terminal",3,3,0.7,0.0148795802881372,"RS01505;RS04425;RS07145",0.24402511672545
"InterPro","IPR011335","Restriction endonuclease type II-like",3,3,0.7,0.0148795802881372,"RS00965;RS05060;addA",0.24402511672545
"InterPro","IPR019776","Flagellar basal body rod protein, conserved site",3,3,0.7,0.0148795802881372,"flgB;flgC;flgG",0.24402511672545
"InterPro","IPR020013","Flagellar hook-basal body protein, FlgE/F/G",3,3,0.7,0.0148795802881372,"RS05470;flgF;flgG",0.24402511672545
"InterPro","IPR037925","Flagellar hook-basal body protein, FlgE/F/G-like",3,3,0.7,0.0148795802881372,"RS05470;flgF;flgG",0.24402511672545
"InterPro","IPR045584","Pilin-like",3,3,0.7,0.0148795802881372,"RS01505;RS04425;RS07145",0.24402511672545
"Keyword","KW-1133","Transmembrane helix",215,65,53,0.0229837604725533,"RS00160;RS00165;RS00170;RS00175;RS00245;RS00290;RS00320;RS00325;RS00580;RS00855;RS01155;RS01220;RS01465;RS01470;RS01505;RS01785;RS01975;RS02050;RS02205;RS02325;RS03540;RS03795;RS03855;RS03880;RS04360;RS04370;RS04870;RS05280;RS05285;RS05345;RS05355;RS05400;RS05405;RS05495;RS05555;RS05570;RS05825;RS05875;RS06305;RS06355;RS06370;RS06525;RS06570;RS06630;flhA;flhB;fliF;fliP;fliQ;fliR;hflC;hflK;lptF;mnhG;motA;murJ;nuoH;nuoL;nuoN;pstA;sdhC;sdhD;secD;ubiB;waaA",0.25938815390453
"Process","GO:0009060","Aerobic respiration",21,10,5.2,0.0178267150385443,"RS00465;RS03855;acnA;gltA;nuoG;nuoL;nuoN;sdhA;sdhC;sdhD",0.275520826596821
"Process","GO:0006754","ATP biosynthetic process",10,6,2.5,0.0179893323207546,"RS00555;RS00565;RS05600;atpA;atpC;atpD",0.275520826596821
"Process","GO:0015986","Proton motive force-driven ATP synthesis",10,6,2.5,0.0179893323207546,"RS00555;RS00565;RS05600;atpA;atpC;atpD",0.275520826596821
"Function","GO:0042626","ATPase-coupled transmembrane transporter activity",16,8,3.9,0.0241985575251384,"RS02325;RS03540;RS05350;RS05600;RS06525;atpA;atpD;secD",0.310548154905943
