"pathway","size","NES","pval","padj"
"Flagelar",31,-2.44149876537189,3.47045033300906e-10,2.42931523310634e-09
"TranspABC",53,-1.87369150795658,0.00014290862371163,0.000500180182990705
"Chaperona",15,1.79280700200161,0.0049424140745443,0.01153229950727
"HierroHemo",24,-1.41557576508386,0.0636443507292216,0.111377613776138
"Hipotetica",86,1.18786437427052,0.13906848203646,0.187339443593546
"Ribosoma",56,1.19462932163726,0.160576665937325,0.187339443593546
"Traduccion",59,-0.509718475914484,0.999728988109353,0.999728988109353
