"categoria","genes","inducidos","reprimidos","esp_red","p_ind","p_rep","q_ind","q_rep"
"Flagelar",31,1,30,7.6,0.997712952669009,3.0543499197586e-18,0.997746356112825,2.13804494383102e-17
"Ribosoma",56,7,3,13.7,0.889563377322278,0.999980129574191,0.997746356112825,0.999980129574191
"Chaperona",15,8,2,3.7,0.00166556218547956,0.913851538447309,0.0116589352983569,0.999980129574191
"TranspABC",53,3,22,12.9,0.997746356112825,0.00374562510227145,0.997746356112825,0.0131096878579501
"HierroHemo",24,4,8,5.9,0.632004587488764,0.211509294440713,0.997746356112825,0.49352168702833
"Traduccion",59,8,12,14.4,0.843744420350467,0.816546036858538,0.997746356112825,0.999980129574191
"Hipotetica",86,18,19,21,0.236796759497536,0.740070159087497,0.828788658241376,0.999980129574191
