run	cond
SRR12653234	HB37
SRR12653237	HB37
SRR12653238	HB37
SRR12653244	HBBG
SRR12653251	HBBG
SRR12653252	HBBG
SRR12653235	HUVE
SRR12653256	HUVE
SRR12653236	Pl25
SRR12653240	Pl25
SRR12653239	Pl30
SRR12653245	Pl30
SRR12653253	Pl37
SRR12653254	Pl37
SRR12653246	PlBG
SRR12653248	PlBG
SRR12653249	PlBG
SRR12653241	pH06
SRR12653243	pH06
SRR12653242	pH07
SRR12653250	pH07
SRR12653247	pH08
SRR12653255	pH08
