"","baseMean","log2FoldChange","lfcSE","pvalue","padj","wp"
"lcl|NC_008783.1_cds_WP_005767548.1_894",124.305434359842,0.408247954107172,0.2309625384018,0.0521517186946636,0.126015581498942,"WP_005767548.1"
"lcl|NC_008783.1_cds_WP_011807395.1_895",2362.834027625,0.455093596606531,0.325553379341355,0.087597965920482,0.186204652872263,"WP_011807395.1"
"lcl|NC_008783.1_cds_WP_005767552.1_896",1179.4987301291,0.591388963727691,0.192348388074332,0.00103653325810505,0.00550338734348153,"WP_005767552.1"
"lcl|NC_008783.1_cds_WP_005767554.1_897",246.960212629862,-0.339968368798074,0.25729516814887,0.136870000543665,0.262648428920096,"WP_005767554.1"
"lcl|NC_008783.1_cds_WP_005767556.1_898",541.06175568918,0.877311510727825,0.360162634766437,0.00185422135686124,0.00907189291951947,"WP_005767556.1"
"lcl|NC_008783.1_cds_WP_005767557.1_899",1584.90972605379,-0.609285375926481,0.226618692755562,0.00321892689341618,0.0147150943699025,"WP_005767557.1"
"lcl|NC_008783.1_cds_WP_005767559.1_900",748.434266210164,0.32836322324366,0.20806313078805,0.0889059996683567,0.188143147640501,"WP_005767559.1"
"lcl|NC_008783.1_cds_WP_011807396.1_901",557.651353596606,-1.19770524715046,0.239266158357792,2.37496884777694e-08,7.92909204881622e-07,"WP_011807396.1"
"lcl|NC_008783.1_cds_BARBAKC583_RS04955_902",439.675672569425,0.194737409597408,0.248580610717308,0.382020077585013,0.539108190537134,"BARBAKC583_RS04955"
"lcl|NC_008783.1_cds_WP_005767565.1_903",523.100830523737,-0.615110753971167,0.17131405958165,0.000157486068192529,0.00111654793257458,"WP_005767565.1"
"lcl|NC_008783.1_cds_WP_005767566.1_904",665.189286552049,1.20402470717771,0.149148929425042,3.44887705100272e-17,5.10433803548403e-15,"WP_005767566.1"
"lcl|NC_008783.1_cds_WP_005767569.1_905",155.987873635452,0.128150151720063,0.257865607915028,0.575726208576196,0.722560543115698,"WP_005767569.1"
"lcl|NC_008783.1_cds_WP_005767571.1_906",189.927576919766,0.406599026401181,0.241284145896069,0.0616934839772681,0.142945371876879,"WP_005767571.1"
"lcl|NC_008783.1_cds_WP_005767573.1_907",446.725431113584,-0.119230338738402,0.238773931279919,0.580906614749923,0.725520497746739,"WP_005767573.1"
"lcl|NC_008783.1_cds_WP_005767576.1_908",480.6036200522,-0.00970288748042885,0.189297785106969,0.95654795516226,0.969651351808318,"WP_005767576.1"
"lcl|NC_008783.1_cds_WP_005767578.1_909",2457.68003639829,0.120770838223156,0.22978662891264,0.564321112855697,0.712862610531486,"WP_005767578.1"
"lcl|NC_008783.1_cds_BARBAKC583_RS05005_910",2184.91561616501,-0.144958575800536,0.243842157561469,0.509032214223526,0.663513335242316,"BARBAKC583_RS05005"
"lcl|NC_008783.1_cds_WP_035453010.1_911",245.474537561301,0.0353629604568501,0.266849978251147,0.880266948633819,0.915044835103109,"WP_035453010.1"
"lcl|NC_008783.1_cds_WP_005767582.1_912",193.745184181782,-0.126968166563822,0.204127964076127,0.503980069226368,0.660077557178027,"WP_005767582.1"
"lcl|NC_008783.1_cds_WP_005767584.1_913",130.830350080081,-0.170695573819082,0.33691259123841,0.528292334977123,0.682858214642919,"WP_005767584.1"
"lcl|NC_008783.1_cds_WP_005767586.1_914",548.072349586505,-0.529928291088005,0.203235196589523,0.00506434531595847,0.0212630668584923,"WP_005767586.1"
"lcl|NC_008783.1_cds_WP_005767588.1_915",718.431603905971,0.263482663795587,0.213530557540561,0.181699081490355,0.323020589316187,"WP_005767588.1"
"lcl|NC_008783.1_cds_WP_005767590.1_916",471.107209617704,-0.287058475594258,0.261971135537277,0.215202600738845,0.363999827535419,"WP_005767590.1"
