"","baseMean","log2FoldChange","lfcSE","pvalue","padj","wp"
"lcl|NC_008783.1_cds_WP_005765660.1_1",48612.3625389815,0.809005195482523,0.25132393973781,0.000327917993371919,0.00189392636171879,"WP_005765660.1"
"lcl|NC_008783.1_cds_WP_005765663.1_2",770.027575552566,-0.234792338596573,0.318656846984103,0.358376886276203,0.503300290636448,"WP_005765663.1"
"lcl|NC_008783.1_cds_WP_005765665.1_3",1607.3398625991,-0.378362898406618,0.16450326350241,0.0131176134806515,0.0392244246731762,"WP_005765665.1"
"lcl|NC_008783.1_cds_WP_005765667.1_4",182.623814413753,-0.383782192421133,0.231268439561483,0.057474254094036,0.121516994370248,"WP_005765667.1"
"lcl|NC_008783.1_cds_WP_005765670.1_5",136.643738575877,-0.316008152040237,0.303044464353331,0.201582446892168,0.319509527604186,"WP_005765670.1"
"lcl|NC_008783.1_cds_WP_005765671.1_6",152.796838576968,-0.334363054540731,0.291027177305329,0.16436845836304,0.272184971610965,"WP_005765671.1"
"lcl|NC_008783.1_cds_WP_005765673.1_7",194.578458938015,-0.170831614738164,0.323350156304592,0.507731933811506,0.644422099436668,"WP_005765673.1"
"lcl|NC_008783.1_cds_WP_011807237.1_8",345.3817602843,-0.349371838458582,0.283667771086459,0.139018398441778,0.242769592559094,"WP_011807237.1"
"lcl|NC_008783.1_cds_WP_011807238.1_9",5076.10933426869,0.107636729676125,0.274152026544542,0.637778351429169,0.746175462541637,"WP_011807238.1"
"lcl|NC_008783.1_cds_WP_005765686.1_10",1362.10489037,-0.556071279574806,0.312238583980027,0.0314486589895404,0.0764095051204982,"WP_005765686.1"
"lcl|NC_008783.1_cds_WP_005765688.1_11",863.819730660319,-0.64662350602139,0.193313558272649,0.000344396265622617,0.00197236796973604,"WP_005765688.1"
"lcl|NC_008783.1_cds_WP_005765690.1_12",405.004348045157,-0.580431895753193,0.26640739574785,0.012237827213223,0.0374407943681035,"WP_005765690.1"
"lcl|NC_008783.1_cds_WP_005765692.1_13",1411.80214808402,0.425921208582236,0.146067033705259,0.00223624309196452,0.00906750623591094,"WP_005765692.1"
"lcl|NC_008783.1_cds_WP_005765693.1_14",947.081233930469,0.0203984243693072,0.124534957091143,0.853404665234679,0.902392393282868,"WP_005765693.1"
"lcl|NC_008783.1_cds_WP_005765696.1_15",383.176030658155,0.209920220163249,0.229550637736545,0.286152195275684,0.420874781622869,"WP_005765696.1"
