"","baseMean","log2FoldChange","lfcSE","pvalue","padj","wp"
"lcl|NC_008783.1_cds_WP_005767696.1_967",362.848718746594,-1.41761867172571,0.171303590249045,1.44257260106248e-17,9.48892199809984e-16,"WP_005767696.1"
"lcl|NC_008783.1_cds_WP_005767698.1_968",119.337073562155,-1.47042132327563,0.318103282111788,3.35151420410094e-07,3.45566193318594e-06,"WP_005767698.1"
"lcl|NC_008783.1_cds_WP_005767700.1_969",138.764003177749,0.55800729622402,0.30603560889781,0.0274765421650559,0.0635395037566918,"WP_005767700.1"
"lcl|NC_008783.1_cds_WP_005767702.1_970",449.446602876259,0.00356973960752249,0.153513581073784,0.975941737487655,0.980080591336203,"WP_005767702.1"
"lcl|NC_008783.1_cds_WP_005767704.1_971",501.779667522449,1.20717104896722,0.256790844142528,4.99076946807138e-07,4.65281185054844e-06,"WP_005767704.1"
"lcl|NC_008783.1_cds_WP_005767706.1_972",4035.94295839514,0.269918668217533,0.164110172727469,0.0400145053219292,0.0870050501501124,"WP_005767706.1"
"lcl|NC_008783.1_cds_WP_011807408.1_973",1750.18882619339,1.38768611677227,0.400428968846173,5.23557412143272e-05,0.000286987025915571,"WP_011807408.1"
"lcl|NC_008783.1_cds_WP_005767710.1_974",3575.08503232423,0.991250757942832,0.359579626086774,0.00142662460236711,0.00521334422593413,"WP_005767710.1"
"lcl|NC_008783.1_cds_WP_005767713.1_975",411.073548646526,-1.18421764413249,0.313663858875121,3.04759508714111e-05,0.000175162746756072,"WP_005767713.1"
"lcl|NC_008783.1_cds_WP_005767715.1_976",240.731653015666,-1.177224600162,0.213489866226439,7.53153825585007e-09,1.14324888396493e-07,"WP_005767715.1"
"lcl|NC_008783.1_cds_WP_005767717.1_977",270.455559947203,-0.428063066863698,0.242546217979363,0.0334068848738388,0.0747707971467394,"WP_005767717.1"
"lcl|NC_008783.1_cds_WP_005767719.1_978",92.75839741242,-2.03885609073626,0.391443718573011,3.18629208059076e-09,5.16790386769789e-08,"WP_005767719.1"
"lcl|NC_008783.1_cds_WP_005767721.1_979",1366.82838958672,-1.32138246458618,0.23356338396684,2.2057551103663e-09,3.73087721524814e-08,"WP_005767721.1"
"lcl|NC_008783.1_cds_WP_005767722.1_980",135.013184815075,-0.990876285484977,0.342953289110455,0.000988471234830996,0.00375112160910224,"WP_005767722.1"
"lcl|NC_008783.1_cds_WP_005767724.1_981",203.856993515295,-0.891610888909798,0.251234329986553,0.000147318908898425,0.000686714913920218,"WP_005767724.1"
"lcl|NC_008783.1_cds_WP_005767726.1_982",2523.95649345571,-0.861781269437285,0.298193849661201,0.00130777115514004,0.00483875327401816,"WP_005767726.1"
"lcl|NC_008783.1_cds_WP_005767728.1_983",2169.65159935497,-1.36028183920444,0.294123771091664,4.61861355033932e-07,4.4577144479272e-06,"WP_005767728.1"
"lcl|NC_008783.1_cds_WP_005767730.1_984",6501.66701329215,-0.703987959704145,0.233664013557451,0.00119726786176636,0.00445775793438557,"WP_005767730.1"
"lcl|NC_008783.1_cds_WP_005767732.1_985",1938.35206374089,0.243349176900448,0.247511302473025,0.197656403932098,0.31328672323374,"WP_005767732.1"
"lcl|NC_008783.1_cds_WP_005767738.1_986",69.793066731894,-0.373774637649746,0.28493359145439,0.0944229742913794,0.178020384651263,"WP_005767738.1"
"lcl|NC_008783.1_cds_WP_005767740.1_987",420.347870687961,-0.657285917439746,0.216336454683142,0.00118195775271045,0.00442860120002903,"WP_005767740.1"
"lcl|NC_008783.1_cds_WP_005767742.1_988",292.550943606619,-0.701358061505091,0.250163151345478,0.00218541416284901,0.00741412713126999,"WP_005767742.1"
"lcl|NC_008783.1_cds_WP_005767744.1_989",784.807688198239,-0.996726827813773,0.204574864771228,3.69877420842144e-07,3.7113124260771e-06,"WP_005767744.1"
"lcl|NC_008783.1_cds_WP_005767746.1_990",532.156695196068,-1.00087738465046,0.206755183969275,4.28553907974425e-07,4.19345311604727e-06,"WP_005767746.1"
"lcl|NC_008783.1_cds_WP_005767748.1_991",1870.04134971062,-0.901734614427664,0.248290463149326,0.000106487401929802,0.000525337849520356,"WP_005767748.1"
"lcl|NC_008783.1_cds_WP_051007750.1_992",1632.08889352928,-1.01336115611446,0.347339643660698,0.000863575547064306,0.00335197096115876,"WP_051007750.1"
"lcl|NC_008783.1_cds_WP_052467648.1_993",239.611688481658,-1.46766539999788,0.36942228648391,5.97283698072976e-06,4.20942796737145e-05,"WP_052467648.1"
"lcl|NC_008783.1_cds_WP_005767753.1_994",1971.70661933439,-1.05468115998296,0.302844482933316,0.00012763407577369,0.000619339121787084,"WP_005767753.1"
"lcl|NC_008783.1_cds_WP_011807413.1_995",2809.25162500941,0.688077773669834,0.154132859659202,4.86813689673805e-06,3.53611907100482e-05,"WP_011807413.1"
"lcl|NC_008783.1_cds_WP_005767757.1_996",96.8432147116182,-0.383135712279368,0.248599192324479,0.0557481733094751,0.114593467358366,"WP_005767757.1"
"lcl|NC_008783.1_cds_WP_005767758.1_997",145.729479458758,-1.26542701258362,0.430183453550233,0.000403189441778094,0.00170491535380451,"WP_005767758.1"
"lcl|NC_008783.1_cds_WP_005767760.1_998",141.964585949376,-1.49769282251342,0.348941765739041,1.40352890043799e-06,1.18698444151327e-05,"WP_005767760.1"
"lcl|NC_008783.1_cds_WP_005767762.1_999",361.691151328798,-1.41372844645894,0.321728219448451,1.14954568568615e-06,9.9347597945431e-06,"WP_005767762.1"
"lcl|NC_008783.1_cds_WP_011807415.1_1000",582.08809672922,-1.25779463025474,0.300262669306981,4.53227241354786e-06,3.31247564051893e-05,"WP_011807415.1"
"lcl|NC_008783.1_cds_WP_005767766.1_1001",596.280748855099,-1.37428121727144,0.282798301388492,1.40685221656399e-07,1.55674114431006e-06,"WP_005767766.1"
"lcl|NC_008783.1_cds_WP_005767768.1_1002",159.687073404352,-1.81484476719402,0.438911715046664,1.02543879516987e-06,9.06059353344122e-06,"WP_005767768.1"
"lcl|NC_008783.1_cds_WP_005767770.1_1003",1974.55983045344,-1.36185725014859,0.306883729567323,1.10235743899031e-06,9.59699417473921e-06,"WP_005767770.1"
"lcl|NC_008783.1_cds_WP_005767773.1_1004",487.382903215122,-1.22516057777203,0.265179216172282,7.00122025043584e-07,6.37649598193541e-06,"WP_005767773.1"
