"","baseMean","log2FoldChange","lfcSE","pvalue","padj","wp"
"lcl|NC_008783.1_cds_WP_005765660.1_1",48612.3625389815,0.141161499806232,0.195071385936335,0.307542382591922,0.575897913208422,"WP_005765660.1"
"lcl|NC_008783.1_cds_WP_005765663.1_2",770.027575552566,-0.0624072677584169,0.232756253129762,0.657839153737194,0.83197304737351,"WP_005765663.1"
"lcl|NC_008783.1_cds_WP_005765665.1_3",1607.3398625991,-0.128139169826142,0.141807526425505,0.276149570928914,0.551823841391512,"WP_005765665.1"
"lcl|NC_008783.1_cds_WP_005765667.1_4",182.623814413753,0.125038040497222,0.183948023258951,0.354013839238811,0.609677031295916,"WP_005765667.1"
"lcl|NC_008783.1_cds_WP_005765670.1_5",136.643738575877,-0.0558757439709198,0.220720366930996,0.690055878607288,0.848681011719345,"WP_005765670.1"
"lcl|NC_008783.1_cds_WP_005765671.1_6",152.796838576968,-0.0608473156347443,0.21411215351956,0.663009246905952,0.83439663475697,"WP_005765671.1"
"lcl|NC_008783.1_cds_WP_005765673.1_7",194.578458938015,-0.0251764356683111,0.234989453235878,0.857157369669977,0.9349934601937,"WP_005765673.1"
"lcl|NC_008783.1_cds_WP_011807237.1_8",345.3817602843,-0.00539694160539701,0.207413347797485,0.968832070275179,0.989322349764096,"WP_011807237.1"
"lcl|NC_008783.1_cds_WP_011807238.1_9",5076.10933426869,-0.187946773687208,0.232611135829221,0.203453098698858,0.475517706074306,"WP_011807238.1"
"lcl|NC_008783.1_cds_WP_005765686.1_10",1362.10489037,-0.0261070141388098,0.216982889131689,0.851280976597016,0.9349934601937,"WP_005765686.1"
"lcl|NC_008783.1_cds_WP_005765688.1_11",863.819730660319,0.170089820660662,0.164709884564843,0.185916049779584,0.454792588793898,"WP_005765688.1"
"lcl|NC_008783.1_cds_WP_005765690.1_12",405.004348045157,0.087774753730043,0.199151483134587,0.524622545130038,0.745895487789965,"WP_005765690.1"
"lcl|NC_008783.1_cds_WP_005765692.1_13",1411.80214808402,0.0832300249853992,0.128149005898331,0.449427137871169,0.689432562419636,"WP_005765692.1"
"lcl|NC_008783.1_cds_WP_005765693.1_14",947.081233930469,0.0694529938352739,0.12198312793877,0.513462359897796,0.739267827700103,"WP_005765693.1"
"lcl|NC_008783.1_cds_WP_005765696.1_15",383.176030658155,-0.527545544068182,0.250081894145113,0.00218713101110835,0.0256490818575434,"WP_005765696.1"
"lcl|NC_008783.1_cds_WP_005765698.1_16",1115.10237223667,0.287799592287716,0.267287773023422,0.0726775543836117,0.277458677607589,"WP_005765698.1"
"lcl|NC_008783.1_cds_WP_005765700.1_17",1345.32647745362,0.165011212357363,0.217708332235935,0.252179484978119,0.53082008082781,"WP_005765700.1"
"lcl|NC_008783.1_cds_WP_005765702.1_18",1590.40554063957,0.197584715324619,0.202285179490791,0.163787112343571,0.428281165384878,"WP_005765702.1"
"lcl|NC_008783.1_cds_WP_005765704.1_19",758.661340948145,0.246540257429852,0.181454663397515,0.0704411499768176,0.276375978603728,"WP_005765704.1"
"lcl|NC_008783.1_cds_WP_005765706.1_20",1700.89125954757,-0.0103106941096405,0.133598272973392,0.927416229477026,0.965364355112997,"WP_005765706.1"
"lcl|NC_008783.1_cds_WP_005765708.1_21",430.153508046785,-0.0483223581400133,0.165172470930252,0.705586652974087,0.852430909576394,"WP_005765708.1"
"lcl|NC_008783.1_cds_WP_005765710.1_22",2468.59584327679,0.0742360752673429,0.152457452765481,0.54533931471152,0.762444624262271,"WP_005765710.1"
"lcl|NC_008783.1_cds_WP_005765712.1_23",4146.40731518368,0.189349855990607,0.227414458421429,0.197832344645021,0.467786867887717,"WP_005765712.1"
"lcl|NC_008783.1_cds_WP_005765714.1_24",3522.98331979645,0.18101412136793,0.185539460138501,0.184727859897525,0.45342292883938,"WP_005765714.1"
"lcl|NC_008783.1_cds_WP_005765715.1_25",6980.29733797275,0.391186830523824,0.235077123825683,0.014245427669437,0.0913753675371072,"WP_005765715.1"
"lcl|NC_008783.1_cds_WP_005765716.1_26",4160.01748175386,0.557372031411843,0.342086744805081,0.00512891497940669,0.0476373623287294,"WP_005765716.1"
"lcl|NC_008783.1_cds_WP_005765717.1_27",2795.54793069793,0.732590916852738,0.321844230825329,0.000531160838711277,0.0094873497499045,"WP_005765717.1"
"lcl|NC_008783.1_cds_WP_005765729.1_28",2177.41775898003,-0.0336535813909434,0.18767412448161,0.802693780591161,0.910975053046274,"WP_005765729.1"
"lcl|NC_008783.1_cds_WP_005765731.1_29",663.412759157941,-0.0340479700046899,0.204687096450652,0.8050591319309,0.910987965079702,"WP_005765731.1"
"lcl|NC_008783.1_cds_WP_005765733.1_30",1029.26015696678,0.226892292579018,0.258820003138407,0.14060111434333,0.399114654651848,"WP_005765733.1"
"lcl|NC_008783.1_cds_WP_005765735.1_31",65.1158072226447,0.0285132781271339,0.266220604456448,0.835436235962026,0.926692729170515,"WP_005765735.1"
"lcl|NC_008783.1_cds_WP_011807240.1_32",352.760806327897,0.134736621817268,0.279524430166437,0.350735032400432,0.606860465897021,"WP_011807240.1"
"lcl|NC_008783.1_cds_WP_005765739.1_33",93.0183746372837,0.0139767515155626,0.251691894408993,0.919808154777073,0.962837072377118,"WP_005765739.1"
